"Author","Years Published"
"Alan Jeffrey","No Consecutive Publishing"
"Hidenosuke Nishio","No Consecutive Publishing"
"Jussi Ketonen","No Consecutive Publishing"
"Arne Andersson","No Consecutive Publishing"
"Ludek Kucera","No Consecutive Publishing"
"David L. Schweizer","No Consecutive Publishing"
"Dirk Van Gucht","No Consecutive Publishing"
"Johan Thapper","No Consecutive Publishing"
"Hratchia Pélibossian","No Consecutive Publishing"
"Christos H. Papadimitriou","No Consecutive Publishing"
"Mark Kambites","No Consecutive Publishing"
"Élise Prieur-Gaston","No Consecutive Publishing"
"Petr Kucera","No Consecutive Publishing"
"George Rahonis","No Consecutive Publishing"
"Guido Proietti","No Consecutive Publishing"
"Tobias Jacobs","No Consecutive Publishing"
"Florian Sikora","No Consecutive Publishing"
"Jarkko Kari","No Consecutive Publishing"
"Gabriel Istrate","No Consecutive Publishing"
"Zoltán Csajbók","No Consecutive Publishing"
"Colin J. Fidge","No Consecutive Publishing"
"Jakub Onufry Wojtaszczyk","No Consecutive Publishing"
"Ruqian Lu","No Consecutive Publishing"
"Michael Kunze","No Consecutive Publishing"
"Zhizhang Shen","No Consecutive Publishing"
"Hélène Kirchner","No Consecutive Publishing"
"Sachio Hirokawa","No Consecutive Publishing"
"Simona Ronchi Della Rocca","No Consecutive Publishing"
"Marcella Anselmo","No Consecutive Publishing"
"Antonio E. Porreca","No Consecutive Publishing"
"Richard Edwin Stearns","No Consecutive Publishing"
"Véronique Terrier","No Consecutive Publishing"
"Anca Muscholl","No Consecutive Publishing"
"Deying Li 0001","No Consecutive Publishing"
"Claudio Zandron","No Consecutive Publishing"
"Youichi Kobuchi","No Consecutive Publishing"
"Stéphane Fabre","No Consecutive Publishing"
"Sheng Yu 0001","No Consecutive Publishing"
"Seinosuke Toda","No Consecutive Publishing"
"Erwin Engeler","No Consecutive Publishing"
"Le Huy Nguyen","No Consecutive Publishing"
"Han-Min Chu","No Consecutive Publishing"
"Klaus W. Wagner","No Consecutive Publishing"
"Chih-Wei Yi","No Consecutive Publishing"
"Sebastian Maneth","No Consecutive Publishing"
"Michel Rigo","No Consecutive Publishing"
"Huiqiang Yang","No Consecutive Publishing"
"Sukemitsu Kawabata","No Consecutive Publishing"
"Esko Ukkonen","No Consecutive Publishing"
"Marek Chrobak","No Consecutive Publishing"
"Oscar H. Ibarra","No Consecutive Publishing"
"Richard M. Thomas","No Consecutive Publishing"
"Friedrich Hubalek","No Consecutive Publishing"
"Steven S. Seiden","No Consecutive Publishing"
"Teodor Rus","No Consecutive Publishing"
"Andrew Lewis-Pye","No Consecutive Publishing"
"Salvador Lucas","No Consecutive Publishing"
"Peter J. Witbooi","No Consecutive Publishing"
"Shaofa Yang","No Consecutive Publishing"
"Nikolaus Hansen","No Consecutive Publishing"
"Alexander Okhotin","No Consecutive Publishing"
